Chemical Name,CAS Number,Country Code,Country Name,Sample Source Code,Sample Source Name,Concentration Value,Unit of Measure,Sampling Date,LOD,LOQ,Media,Sampling Matrix,Level of Aggregation,Statistic Name,Number of Samples,Samples Below LOQ,Confidence Interval,Position,Latitude,Longitude,Location Name,Target Population,Adjusted For,Concentration Value (unadjusted),Confidence Interval (unadjusted),IPCheM QC,PulledDate,FileName,QA_Concerns
cotinine,486-56-6,ESP,Spain,ESP,NA,1.485,µg/L,2011/09/01-2012/04/24,NA,0.1,Human (Urine),urine,statistic,Geometric Mean,119,0.00%,1.219-1.81,representative,NA,NA,NA,children,"age, gender, crt",1.459,1.2-1.775,NA,2020,Democophes_Aggregate.csv,
cotinine,486-56-6,HUN,Hungary,HUN,NA,1.776,µg/L,2011/09/01-2012/04/24,NA,0.3,Human (Urine),urine,statistic,Geometric Mean,117,0.00%,1.46-2.161,representative,NA,NA,NA,children,"age, gender, crt",1.8,1.48-2.19,NA,2020,Democophes_Aggregate.csv,
cotinine,486-56-6,IRL,Ireland,IRL,NA,0.708,µg/L,2011/09/01-2012/04/24,NA,0.48,Human (Urine),urine,statistic,Geometric Mean,120,61.70%,0.582-0.862,representative,NA,NA,NA,children,"age, gender, crt",0.712,0.585-0.866,NA,2020,Democophes_Aggregate.csv,
cotinine,486-56-6,LUX,Luxembourg,LUX,NA,0.397,µg/L,2011/09/01-2012/04/24,NA,0.59,Human (Urine),urine,statistic,Geometric Mean,59,83.10%,0.301-0.524,representative,NA,NA,NA,children,"age, gender, crt",0.391,0.297-0.516,NA,2020,Democophes_Aggregate.csv,
cotinine,486-56-6,POL,Poland,POL,NA,1.568,µg/L,2011/09/01-2012/04/24,NA,0.8,Human (Urine),urine,statistic,Geometric Mean,115,34.80%,1.288-1.909,representative,NA,NA,NA,children,"age, gender, crt",1.558,1.281-1.895,NA,2020,Democophes_Aggregate.csv,
cotinine,486-56-6,PRT,Portugal,PRT,NA,1.093,µg/L,2011/09/01-2012/04/24,NA,0.7,Human (Urine),urine,statistic,Geometric Mean,116,39.70%,0.897-1.333,representative,NA,NA,NA,children,"age, gender, crt",1.073,0.882-1.305,NA,2020,Democophes_Aggregate.csv,
cotinine,486-56-6,ROU,Romania,ROU,NA,1.942,µg/L,2011/09/01-2012/04/24,NA,0.7,Human (Urine),urine,statistic,Geometric Mean,119,26.10%,1.597-2.363,representative,NA,NA,NA,children,"age, gender, crt",1.953,1.605-2.375,NA,2020,Democophes_Aggregate.csv,
cotinine,486-56-6,SWE,Sweden,SWE,NA,0.202,µg/L,2011/09/01-2012/04/24,NA,0.3,Human (Urine),urine,statistic,Geometric Mean,97,84.50%,0.165-0.246,representative,NA,NA,NA,children,"age, gender, crt",0.199,0.163-0.242,NA,2020,Democophes_Aggregate.csv,
cotinine,486-56-6,SVN,Slovenia,SVN,NA,0.529,µg/L,2011/09/01-2012/04/24,NA,0.7,Human (Urine),urine,statistic,Geometric Mean,120,74.20%,0.434-0.644,representative,NA,NA,NA,children,"age, gender, crt",0.532,0.438-0.648,NA,2020,Democophes_Aggregate.csv,
cotinine,486-56-6,SVK,Slovakia,SVK,NA,1.085,µg/L,2011/09/01-2012/04/24,NA,0.3,Human (Urine),urine,statistic,Geometric Mean,127,0.00%,0.892-1.32,representative,NA,NA,NA,children,"age, gender, crt",1.104,0.907-1.342,NA,2020,Democophes_Aggregate.csv,
cotinine,486-56-6,GBR,United Kingdom,GBR,NA,0.661,µg/L,2011/09/01-2012/04/24,NA,1.2,Human (Urine),urine,statistic,Geometric Mean,21,95.20%,0.542-0.806,representative,NA,NA,NA,children,"age, gender, crt",0.641,0.527-0.78,NA,2020,Democophes_Aggregate.csv,
cotinine,486-56-6,BEL,Belgium,BEL,NA,1.257,µg/L,2011/09/01-2012/04/24,NA,0.7,Human (Urine),urine,statistic,Geometric Mean,125,69.60%,0.736-2.147,representative,NA,NA,NA,mothers,"age, crt",1.152,0.675-1.968,NA,2020,Democophes_Aggregate.csv,
cotinine,486-56-6,CHE,Switzerland,CHE,NA,0.844,µg/L,2011/09/01-2012/04/24,NA,1,Human (Urine),urine,statistic,Geometric Mean,117,94.00%,0.493-1.446,representative,NA,NA,NA,mothers,"age, crt",0.711,0.416-1.215,NA,2020,Democophes_Aggregate.csv,
cotinine,486-56-6,CYP,Cyprus,CYP,NA,2.825,µg/L,2011/09/01-2012/04/24,NA,0.8,Human (Urine),urine,statistic,Geometric Mean,59,40.70%,1.329-6.002,representative,NA,NA,NA,mothers,"age, crt",2.871,1.346-6.121,NA,2020,Democophes_Aggregate.csv,
cotinine,486-56-6,CZE,Czech Republic,CZE,NA,3.773,µg/L,2011/09/01-2012/04/24,NA,0.3,Human (Urine),urine,statistic,Geometric Mean,117,0.00%,2.211-6.441,representative,NA,NA,NA,mothers,"age, crt",3.802,2.226-6.495,NA,2020,Democophes_Aggregate.csv,
cotinine,486-56-6,DEU,Germany,DEU,NA,1.005,µg/L,2011/09/01-2012/04/24,NA,0.1,Human (Urine),urine,statistic,Geometric Mean,116,13.80%,0.588-1.717,representative,NA,NA,NA,mothers,"age, crt",0.916,0.537-1.566,NA,2020,Democophes_Aggregate.csv,
cotinine,486-56-6,DNK,Denmark,DNK,NA,1.871,µg/L,2011/09/01-2012/04/24,NA,0.75,Human (Urine),urine,statistic,Geometric Mean,143,51.70%,1.091-3.209,representative,NA,NA,NA,mothers,"age, crt",1.539,0.901-2.629,NA,2020,Democophes_Aggregate.csv,
cotinine,486-56-6,ESP,Spain,ESP,NA,9.586,µg/L,2011/09/01-2012/04/24,NA,0.1,Human (Urine),urine,statistic,Geometric Mean,118,1.70%,5.597-16.417,representative,NA,NA,NA,mothers,"age, crt",8.323,4.872-14.217,NA,2020,Democophes_Aggregate.csv,
cotinine,486-56-6,HUN,Hungary,HUN,NA,7.187,µg/L,2011/09/01-2012/04/24,NA,0.3,Human (Urine),urine,statistic,Geometric Mean,115,0.00%,4.209-12.271,representative,NA,NA,NA,mothers,"age, crt",7.973,4.668-13.62,NA,2020,Democophes_Aggregate.csv,
cotinine,486-56-6,IRL,Ireland,IRL,NA,3.863,µg/L,2011/09/01-2012/04/24,NA,0.48,Human (Urine),urine,statistic,Geometric Mean,120,52.50%,2.266-6.585,representative,NA,NA,NA,mothers,"age, crt",3.842,2.249-6.562,NA,2020,Democophes_Aggregate.csv,
cotinine,486-56-6,LUX,Luxembourg,LUX,NA,0.557,µg/L,2011/09/01-2012/04/24,NA,0.59,Human (Urine),urine,statistic,Geometric Mean,56,83.90%,0.26-1.193,representative,NA,NA,NA,mothers,"age, crt",0.47,0.221-1.003,NA,2020,Democophes_Aggregate.csv,
cotinine,486-56-6,POL,Poland,POL,NA,6.219,µg/L,2011/09/01-2012/04/24,NA,0.8,Human (Urine),urine,statistic,Geometric Mean,119,36.10%,3.644-10.614,representative,NA,NA,NA,mothers,"age, crt",6.672,3.906-11.397,NA,2020,Democophes_Aggregate.csv,
cotinine,486-56-6,PRT,Portugal,PRT,NA,10.923,µg/L,2011/09/01-2012/04/24,NA,0.7,Human (Urine),urine,statistic,Geometric Mean,117,35.00%,6.401-18.64,representative,NA,NA,NA,mothers,"age, crt",11.396,6.671-19.466,NA,2020,Democophes_Aggregate.csv,
cotinine,486-56-6,ROU,Romania,ROU,NA,14.916,µg/L,2011/09/01-2012/04/24,NA,0.7,Human (Urine),urine,statistic,Geometric Mean,117,18.80%,8.702-25.567,representative,NA,NA,NA,mothers,"age, crt",17.544,10.27-29.968,NA,2020,Democophes_Aggregate.csv,
cotinine,486-56-6,SWE,Sweden,SWE,NA,1.803,µg/L,2011/09/01-2012/04/24,NA,0.3,Human (Urine),urine,statistic,Geometric Mean,96,59.40%,1.056-3.08,representative,NA,NA,NA,mothers,"age, crt",1.667,0.976-2.847,NA,2020,Democophes_Aggregate.csv,
cotinine,486-56-6,SVN,Slovenia,SVN,NA,1.79,µg/L,2011/09/01-2012/04/24,NA,0.7,Human (Urine),urine,statistic,Geometric Mean,119,59.70%,1.048-3.058,representative,NA,NA,NA,mothers,"age, crt",1.747,1.022-2.984,NA,2020,Democophes_Aggregate.csv,
cotinine,486-56-6,SVK,Slovakia,SVK,NA,2.819,µg/L,2011/09/01-2012/04/24,NA,0.3,Human (Urine),urine,statistic,Geometric Mean,125,0.00%,1.653-4.809,representative,NA,NA,NA,mothers,"age, crt",2.996,1.754-5.118,NA,2020,Democophes_Aggregate.csv,
cotinine,486-56-6,GBR,United Kingdom,GBR,NA,0.843,µg/L,2011/09/01-2012/04/24,NA,1.2,Human (Urine),urine,statistic,Geometric Mean,21,90.50%,0.489-1.452,representative,NA,NA,NA,mothers,"age, crt",0.71,0.415-1.212,NA,2020,Democophes_Aggregate.csv,
cotinine,486-56-6,BEL,Belgium,BEL,NA,0.566,µg/g crt,2011/09/01-2012/04/24,NA,0.7,Human (Urine),urine,statistic,Geometric Mean,125,65.60%,0.461-0.695,representative,NA,NA,NA,children,"age, gender",0.566,0.461-0.696,NA,2020,Democophes_Aggregate.csv,
cotinine,486-56-6,CHE,Switzerland,CHE,NA,0.484,µg/g crt,2011/09/01-2012/04/24,NA,1,Human (Urine),urine,statistic,Geometric Mean,119,98.30%,0.394-0.594,representative,NA,NA,NA,children,"age, gender",0.487,0.396-0.598,NA,2020,Democophes_Aggregate.csv,
cotinine,486-56-6,CYP,Cyprus,CYP,NA,0.804,µg/g crt,2011/09/01-2012/04/24,NA,0.8,Human (Urine),urine,statistic,Geometric Mean,60,53.30%,0.602-1.075,representative,NA,NA,NA,children,"age, gender",0.804,0.601-1.076,NA,2020,Democophes_Aggregate.csv,
cotinine,486-56-6,CZE,Czech Republic,CZE,NA,1.612,µg/g crt,2011/09/01-2012/04/24,NA,0.3,Human (Urine),urine,statistic,Geometric Mean,120,0.00%,1.313-1.979,representative,NA,NA,NA,children,"age, gender",1.615,1.315-1.984,NA,2020,Democophes_Aggregate.csv,
cotinine,486-56-6,DEU,Germany,DEU,NA,0.277,µg/g crt,2011/09/01-2012/04/24,NA,0.1,Human (Urine),urine,statistic,Geometric Mean,120,13.30%,0.225-0.34,representative,NA,NA,NA,children,"age, gender",0.28,0.228-0.344,NA,2020,Democophes_Aggregate.csv,
cotinine,486-56-6,DNK,Denmark,DNK,NA,0.682,µg/g crt,2011/09/01-2012/04/24,NA,0.75,Human (Urine),urine,statistic,Geometric Mean,144,64.60%,0.555-0.837,representative,NA,NA,NA,children,"age, gender",0.679,0.553-0.835,NA,2020,Democophes_Aggregate.csv,
cotinine,486-56-6,ESP,Spain,ESP,NA,1.595,µg/g crt,2011/09/01-2012/04/24,NA,0.1,Human (Urine),urine,statistic,Geometric Mean,119,0.00%,1.299-1.958,representative,NA,NA,NA,children,"age, gender",1.596,1.299-1.961,NA,2020,Democophes_Aggregate.csv,
cotinine,486-56-6,HUN,Hungary,HUN,NA,1.592,µg/g crt,2011/09/01-2012/04/24,NA,0.3,Human (Urine),urine,statistic,Geometric Mean,117,0.00%,1.297-1.954,representative,NA,NA,NA,children,"age, gender",1.593,1.297-1.957,NA,2020,Democophes_Aggregate.csv,
cotinine,486-56-6,IRL,Ireland,IRL,NA,0.659,µg/g crt,2011/09/01-2012/04/24,NA,0.48,Human (Urine),urine,statistic,Geometric Mean,120,61.70%,0.537-0.809,representative,NA,NA,NA,children,"age, gender",0.659,0.537-0.81,NA,2020,Democophes_Aggregate.csv,
cotinine,486-56-6,LUX,Luxembourg,LUX,NA,0.391,µg/g crt,2011/09/01-2012/04/24,NA,0.59,Human (Urine),urine,statistic,Geometric Mean,59,83.10%,0.292-0.522,representative,NA,NA,NA,children,"age, gender",0.39,0.292-0.522,NA,2020,Democophes_Aggregate.csv,
cotinine,486-56-6,POL,Poland,POL,NA,1.598,µg/g crt,2011/09/01-2012/04/24,NA,0.8,Human (Urine),urine,statistic,Geometric Mean,115,34.80%,1.301-1.961,representative,NA,NA,NA,children,"age, gender",1.596,1.299-1.961,NA,2020,Democophes_Aggregate.csv,
cotinine,486-56-6,PRT,Portugal,PRT,NA,1.191,µg/g crt,2011/09/01-2012/04/24,NA,0.7,Human (Urine),urine,statistic,Geometric Mean,116,39.70%,0.97-1.463,representative,NA,NA,NA,children,"age, gender",1.194,0.972-1.466,NA,2020,Democophes_Aggregate.csv,
cotinine,486-56-6,ROU,Romania,ROU,NA,1.723,µg/g crt,2011/09/01-2012/04/24,NA,0.7,Human (Urine),urine,statistic,Geometric Mean,119,26.10%,1.404-2.116,representative,NA,NA,NA,children,"age, gender",1.723,1.402-2.116,NA,2020,Democophes_Aggregate.csv,
cotinine,486-56-6,SWE,Sweden,SWE,NA,0.224,µg/g crt,2011/09/01-2012/04/24,NA,0.3,Human (Urine),urine,statistic,Geometric Mean,97,84.50%,0.182-0.275,representative,NA,NA,NA,children,"age, gender",0.224,0.183-0.276,NA,2020,Democophes_Aggregate.csv,
cotinine,486-56-6,SVN,Slovenia,SVN,NA,0.446,µg/g crt,2011/09/01-2012/04/24,NA,0.7,Human (Urine),urine,statistic,Geometric Mean,120,74.20%,0.363-0.549,representative,NA,NA,NA,children,"age, gender",0.442,0.36-0.543,NA,2020,Democophes_Aggregate.csv,
cotinine,486-56-6,SVK,Slovakia,SVK,NA,0.908,µg/g crt,2011/09/01-2012/04/24,NA,0.3,Human (Urine),urine,statistic,Geometric Mean,127,0.00%,0.74-1.115,representative,NA,NA,NA,children,"age, gender",0.911,0.742-1.119,NA,2020,Democophes_Aggregate.csv,
cotinine,486-56-6,GBR,United Kingdom,GBR,NA,0.712,µg/g crt,2011/09/01-2012/04/24,NA,1.2,Human (Urine),urine,statistic,Geometric Mean,21,95.20%,0.58-0.874,representative,NA,NA,NA,children,"age, gender",0.712,0.58-0.875,NA,2020,Democophes_Aggregate.csv,
cotinine,486-56-6,BEL,Belgium,BEL,NA,1.099,µg/g crt,2011/09/01-2012/04/24,NA,0.7,Human (Urine),urine,statistic,Geometric Mean,125,69.60%,0.643-1.88,representative,NA,NA,NA,mothers,age,1.028,0.602-1.756,NA,2020,Democophes_Aggregate.csv,
cotinine,486-56-6,CHE,Switzerland,CHE,NA,0.818,µg/g crt,2011/09/01-2012/04/24,NA,1,Human (Urine),urine,statistic,Geometric Mean,117,94.00%,0.478-1.401,representative,NA,NA,NA,mothers,age,0.735,0.431-1.256,NA,2020,Democophes_Aggregate.csv,
cotinine,486-56-6,CYP,Cyprus,CYP,NA,2.486,µg/g crt,2011/09/01-2012/04/24,NA,0.8,Human (Urine),urine,statistic,Geometric Mean,59,40.70%,1.168-5.292,representative,NA,NA,NA,mothers,age,2.472,1.16-5.27,NA,2020,Democophes_Aggregate.csv,
cotinine,486-56-6,CZE,Czech Republic,CZE,NA,3.514,µg/g crt,2011/09/01-2012/04/24,NA,0.3,Human (Urine),urine,statistic,Geometric Mean,117,0.00%,2.056-6.005,representative,NA,NA,NA,mothers,age,3.576,2.094-6.107,NA,2020,Democophes_Aggregate.csv,
cotinine,486-56-6,DEU,Germany,DEU,NA,0.885,µg/g crt,2011/09/01-2012/04/24,NA,0.1,Human (Urine),urine,statistic,Geometric Mean,116,13.80%,0.518-1.514,representative,NA,NA,NA,mothers,age,0.813,0.476-1.389,NA,2020,Democophes_Aggregate.csv,
cotinine,486-56-6,DNK,Denmark,DNK,NA,1.785,µg/g crt,2011/09/01-2012/04/24,NA,0.75,Human (Urine),urine,statistic,Geometric Mean,143,51.70%,1.04-3.062,representative,NA,NA,NA,mothers,age,1.571,0.92-2.683,NA,2020,Democophes_Aggregate.csv,
