Chemical Name,CAS Number,Country Code,Country Name,Sample Source Code,Sample Source Name,Concentration Value,Unit of Measure,Sampling Date,LOD,LOQ,Media,Sampling Matrix,Level of Aggregation,Statistic Name,Number of Samples,Standard Deviation,Standard Error,Mean Confidence Interval,Geometric Mean Confidence Interval,Position,Latitude,Longitude,Location Name,Determinant Name,Determinant Value,IPCheM QC,PulledDate,FileName,QA_Concerns
antimony,7440-36-0,ITA,Italy,ITA,NA,0.793,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,Maximum,743,0.08839,0.003243,0.094-0.107,0.074-0.081,representative,NA,NA,NA,Alcohol,Yes,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.1003,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,Mean,743,0.08839,0.003243,0.094-0.107,0.074-0.081,representative,NA,NA,NA,Alcohol,Yes,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.07739,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,Geometric Mean,743,0.08839,0.003243,0.094-0.107,0.074-0.081,representative,NA,NA,NA,Alcohol,Yes,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.0238,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,5 Percentile,454,0.103,0.004835,0.093-0.112,0.07-0.081,representative,NA,NA,NA,Sex,Female,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.0288,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,10 Percentile,454,0.103,0.004835,0.093-0.112,0.07-0.081,representative,NA,NA,NA,Sex,Female,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.0464,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,25 Percentile,454,0.103,0.004835,0.093-0.112,0.07-0.081,representative,NA,NA,NA,Sex,Female,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.075,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,50 Percentile,454,0.103,0.004835,0.093-0.112,0.07-0.081,representative,NA,NA,NA,Sex,Female,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.1198,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,75 Percentile,454,0.103,0.004835,0.093-0.112,0.07-0.081,representative,NA,NA,NA,Sex,Female,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.1833,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,90 Percentile,454,0.103,0.004835,0.093-0.112,0.07-0.081,representative,NA,NA,NA,Sex,Female,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.2819,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,95 Percentile,454,0.103,0.004835,0.093-0.112,0.07-0.081,representative,NA,NA,NA,Sex,Female,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.006,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,Minimum,454,0.103,0.004835,0.093-0.112,0.07-0.081,representative,NA,NA,NA,Sex,Female,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.76,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,Maximum,454,0.103,0.004835,0.093-0.112,0.07-0.081,representative,NA,NA,NA,Sex,Female,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.1025,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,Mean,454,0.103,0.004835,0.093-0.112,0.07-0.081,representative,NA,NA,NA,Sex,Female,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.07509,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,Geometric Mean,454,0.103,0.004835,0.093-0.112,0.07-0.081,representative,NA,NA,NA,Sex,Female,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.027,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,5 Percentile,890,0.09467,0.003173,0.101-0.113,0.08-0.087,representative,NA,NA,NA,Sex,Male,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.035,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,10 Percentile,890,0.09467,0.003173,0.101-0.113,0.08-0.087,representative,NA,NA,NA,Sex,Male,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.0533,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,25 Percentile,890,0.09467,0.003173,0.101-0.113,0.08-0.087,representative,NA,NA,NA,Sex,Male,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.085,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,50 Percentile,890,0.09467,0.003173,0.101-0.113,0.08-0.087,representative,NA,NA,NA,Sex,Male,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.13,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,75 Percentile,890,0.09467,0.003173,0.101-0.113,0.08-0.087,representative,NA,NA,NA,Sex,Male,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.1933,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,90 Percentile,890,0.09467,0.003173,0.101-0.113,0.08-0.087,representative,NA,NA,NA,Sex,Male,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.2634,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,95 Percentile,890,0.09467,0.003173,0.101-0.113,0.08-0.087,representative,NA,NA,NA,Sex,Male,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.006,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,Minimum,890,0.09467,0.003173,0.101-0.113,0.08-0.087,representative,NA,NA,NA,Sex,Male,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,1.109,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,Maximum,890,0.09467,0.003173,0.101-0.113,0.08-0.087,representative,NA,NA,NA,Sex,Male,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.1071,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,Mean,890,0.09467,0.003173,0.101-0.113,0.08-0.087,representative,NA,NA,NA,Sex,Male,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.08348,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,Geometric Mean,890,0.09467,0.003173,0.101-0.113,0.08-0.087,representative,NA,NA,NA,Sex,Male,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.024,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,5 Percentile,236,0.07412,0.004825,0.082-0.101,0.066-0.079,representative,NA,NA,NA,Smoking,Ex,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.0287,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,10 Percentile,236,0.07412,0.004825,0.082-0.101,0.066-0.079,representative,NA,NA,NA,Smoking,Ex,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.049,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,25 Percentile,236,0.07412,0.004825,0.082-0.101,0.066-0.079,representative,NA,NA,NA,Smoking,Ex,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.0738,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,50 Percentile,236,0.07412,0.004825,0.082-0.101,0.066-0.079,representative,NA,NA,NA,Smoking,Ex,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.1142,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,75 Percentile,236,0.07412,0.004825,0.082-0.101,0.066-0.079,representative,NA,NA,NA,Smoking,Ex,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.1648,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,90 Percentile,236,0.07412,0.004825,0.082-0.101,0.066-0.079,representative,NA,NA,NA,Smoking,Ex,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.2051,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,95 Percentile,236,0.07412,0.004825,0.082-0.101,0.066-0.079,representative,NA,NA,NA,Smoking,Ex,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.006,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,Minimum,236,0.07412,0.004825,0.082-0.101,0.066-0.079,representative,NA,NA,NA,Smoking,Ex,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.628,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,Maximum,236,0.07412,0.004825,0.082-0.101,0.066-0.079,representative,NA,NA,NA,Smoking,Ex,NA,2020,PROBE_Aggregate.csv,
antimony,7440-36-0,ITA,Italy,ITA,NA,0.09187,ug/L,2008-2010,0.012,NA,Human (Blood),Serum,statistic,Mean,236,0.07412,0.004825,0.082-0.101,0.066-0.079,representative,NA,NA,NA,Smoking,Ex,NA,2020,PROBE_Aggregate.csv,
