Chemical Name,CAS Number,Country Code,Country Name,Sample Source Code,Sample Source Name,Concentration Value,Unit of Measure,Sampling Date,LOD,LOQ,Media,Analysed Fraction,Level of Aggregation,Statistic Name,Number of Samples,Number of Non Detects,Standard Deviation,Position,Latitude,Longitude,Location Name,Region,Determinant Name,Determinant Value,Study,IPCheM QC,PulledDate,FileName,QA_Concerns
cadmium,7440-43-9,BEL,Belgium,Albert Canal,NA,0.045,µg/L,2002/01-2004/01,0.09,NA,Human (Cord Blood),cord whole blood,statistic,10 Percentile,53,17,0.698,representative,NA,NA,NA,Albert Canal,Maternal education,Secondary school or lower,FLEHSI,IPCheM-M001: LOD AND LOQ missing (LOQ),2020,FLEHS_Aggregate.csv,"IPCheM-M001: LOD AND LOQ missing (LOQ),"
cadmium,7440-43-9,BEL,Belgium,Albert Canal,NA,0.045,µg/L,2002/01-2004/01,0.09,NA,Human (Cord Blood),cord whole blood,statistic,25 Percentile,53,17,0.698,representative,NA,NA,NA,Albert Canal,Maternal education,Secondary school or lower,FLEHSI,IPCheM-M001: LOD AND LOQ missing (LOQ),2020,FLEHS_Aggregate.csv,"IPCheM-M001: LOD AND LOQ missing (LOQ),"
cadmium,7440-43-9,BEL,Belgium,Albert Canal,NA,0.526,µg/L,2002/01-2004/01,0.09,NA,Human (Cord Blood),cord whole blood,statistic,50 Percentile,53,17,0.698,representative,NA,NA,NA,Albert Canal,Maternal education,Secondary school or lower,FLEHSI,IPCheM-M001: LOD AND LOQ missing (LOQ),2020,FLEHS_Aggregate.csv,"IPCheM-M001: LOD AND LOQ missing (LOQ),"
cadmium,7440-43-9,BEL,Belgium,Albert Canal,NA,0.843,µg/L,2002/01-2004/01,0.09,NA,Human (Cord Blood),cord whole blood,statistic,75 Percentile,53,17,0.698,representative,NA,NA,NA,Albert Canal,Maternal education,Secondary school or lower,FLEHSI,IPCheM-M001: LOD AND LOQ missing (LOQ),2020,FLEHS_Aggregate.csv,"IPCheM-M001: LOD AND LOQ missing (LOQ),"
cadmium,7440-43-9,BEL,Belgium,Albert Canal,NA,1.751,µg/L,2002/01-2004/01,0.09,NA,Human (Cord Blood),cord whole blood,statistic,90 Percentile,53,17,0.698,representative,NA,NA,NA,Albert Canal,Maternal education,Secondary school or lower,FLEHSI,IPCheM-M001: LOD AND LOQ missing (LOQ),2020,FLEHS_Aggregate.csv,"IPCheM-M001: LOD AND LOQ missing (LOQ),"
cadmium,7440-43-9,BEL,Belgium,Albert Canal,NA,2.6,µg/L,2002/01-2004/01,0.09,NA,Human (Cord Blood),cord whole blood,statistic,Maximum,53,17,0.698,representative,NA,NA,NA,Albert Canal,Maternal education,Secondary school or lower,FLEHSI,IPCheM-M001: LOD AND LOQ missing (LOQ),2020,FLEHS_Aggregate.csv,"IPCheM-M001: LOD AND LOQ missing (LOQ),"
cadmium,7440-43-9,BEL,Belgium,Albert Canal,NA,0.608,µg/L,2002/01-2004/01,0.09,NA,Human (Cord Blood),cord whole blood,statistic,Mean,49,14,0.612,representative,NA,NA,NA,Albert Canal,Maternal smoking during pregnancy,No,FLEHSI,IPCheM-M001: LOD AND LOQ missing (LOQ),2020,FLEHS_Aggregate.csv,"IPCheM-M001: LOD AND LOQ missing (LOQ),"
cadmium,7440-43-9,BEL,Belgium,Albert Canal,NA,0.045,µg/L,2002/01-2004/01,0.09,NA,Human (Cord Blood),cord whole blood,statistic,Minimum,49,14,0.612,representative,NA,NA,NA,Albert Canal,Maternal smoking during pregnancy,No,FLEHSI,IPCheM-M001: LOD AND LOQ missing (LOQ),2020,FLEHS_Aggregate.csv,"IPCheM-M001: LOD AND LOQ missing (LOQ),"
cadmium,7440-43-9,BEL,Belgium,Albert Canal,NA,0.045,µg/L,2002/01-2004/01,0.09,NA,Human (Cord Blood),cord whole blood,statistic,10 Percentile,49,14,0.612,representative,NA,NA,NA,Albert Canal,Maternal smoking during pregnancy,No,FLEHSI,IPCheM-M001: LOD AND LOQ missing (LOQ),2020,FLEHS_Aggregate.csv,"IPCheM-M001: LOD AND LOQ missing (LOQ),"
cadmium,7440-43-9,BEL,Belgium,Albert Canal,NA,0.045,µg/L,2002/01-2004/01,0.09,NA,Human (Cord Blood),cord whole blood,statistic,25 Percentile,49,14,0.612,representative,NA,NA,NA,Albert Canal,Maternal smoking during pregnancy,No,FLEHSI,IPCheM-M001: LOD AND LOQ missing (LOQ),2020,FLEHS_Aggregate.csv,"IPCheM-M001: LOD AND LOQ missing (LOQ),"
cadmium,7440-43-9,BEL,Belgium,Albert Canal,NA,0.543,µg/L,2002/01-2004/01,0.09,NA,Human (Cord Blood),cord whole blood,statistic,50 Percentile,49,14,0.612,representative,NA,NA,NA,Albert Canal,Maternal smoking during pregnancy,No,FLEHSI,IPCheM-M001: LOD AND LOQ missing (LOQ),2020,FLEHS_Aggregate.csv,"IPCheM-M001: LOD AND LOQ missing (LOQ),"
cadmium,7440-43-9,BEL,Belgium,Albert Canal,NA,0.819,µg/L,2002/01-2004/01,0.09,NA,Human (Cord Blood),cord whole blood,statistic,75 Percentile,49,14,0.612,representative,NA,NA,NA,Albert Canal,Maternal smoking during pregnancy,No,FLEHSI,IPCheM-M001: LOD AND LOQ missing (LOQ),2020,FLEHS_Aggregate.csv,"IPCheM-M001: LOD AND LOQ missing (LOQ),"
cadmium,7440-43-9,BEL,Belgium,Albert Canal,NA,1.751,µg/L,2002/01-2004/01,0.09,NA,Human (Cord Blood),cord whole blood,statistic,90 Percentile,49,14,0.612,representative,NA,NA,NA,Albert Canal,Maternal smoking during pregnancy,No,FLEHSI,IPCheM-M001: LOD AND LOQ missing (LOQ),2020,FLEHS_Aggregate.csv,"IPCheM-M001: LOD AND LOQ missing (LOQ),"
cadmium,7440-43-9,BEL,Belgium,Albert Canal,NA,2.302,µg/L,2002/01-2004/01,0.09,NA,Human (Cord Blood),cord whole blood,statistic,Maximum,49,14,0.612,representative,NA,NA,NA,Albert Canal,Maternal smoking during pregnancy,No,FLEHSI,IPCheM-M001: LOD AND LOQ missing (LOQ),2020,FLEHS_Aggregate.csv,"IPCheM-M001: LOD AND LOQ missing (LOQ),"
cadmium,7440-43-9,BEL,Belgium,Albert Canal,NA,0.802,µg/L,2002/01-2004/01,0.09,NA,Human (Cord Blood),cord whole blood,statistic,Mean,10,4,1.004,representative,NA,NA,NA,Albert Canal,Maternal smoking during pregnancy,Yes,FLEHSI,IPCheM-M001: LOD AND LOQ missing (LOQ),2020,FLEHS_Aggregate.csv,"IPCheM-M001: LOD AND LOQ missing (LOQ),"
cadmium,7440-43-9,BEL,Belgium,Albert Canal,NA,0.045,µg/L,2002/01-2004/01,0.09,NA,Human (Cord Blood),cord whole blood,statistic,Minimum,10,4,1.004,representative,NA,NA,NA,Albert Canal,Maternal smoking during pregnancy,Yes,FLEHSI,IPCheM-M001: LOD AND LOQ missing (LOQ),2020,FLEHS_Aggregate.csv,"IPCheM-M001: LOD AND LOQ missing (LOQ),"
cadmium,7440-43-9,BEL,Belgium,Albert Canal,NA,0.045,µg/L,2002/01-2004/01,0.09,NA,Human (Cord Blood),cord whole blood,statistic,10 Percentile,10,4,1.004,representative,NA,NA,NA,Albert Canal,Maternal smoking during pregnancy,Yes,FLEHSI,IPCheM-M001: LOD AND LOQ missing (LOQ),2020,FLEHS_Aggregate.csv,"IPCheM-M001: LOD AND LOQ missing (LOQ),"
cadmium,7440-43-9,BEL,Belgium,Albert Canal,NA,0.045,µg/L,2002/01-2004/01,0.09,NA,Human (Cord Blood),cord whole blood,statistic,25 Percentile,10,4,1.004,representative,NA,NA,NA,Albert Canal,Maternal smoking during pregnancy,Yes,FLEHSI,IPCheM-M001: LOD AND LOQ missing (LOQ),2020,FLEHS_Aggregate.csv,"IPCheM-M001: LOD AND LOQ missing (LOQ),"
cadmium,7440-43-9,BEL,Belgium,Albert Canal,NA,0.397,µg/L,2002/01-2004/01,0.09,NA,Human (Cord Blood),cord whole blood,statistic,50 Percentile,10,4,1.004,representative,NA,NA,NA,Albert Canal,Maternal smoking during pregnancy,Yes,FLEHSI,IPCheM-M001: LOD AND LOQ missing (LOQ),2020,FLEHS_Aggregate.csv,"IPCheM-M001: LOD AND LOQ missing (LOQ),"
cadmium,7440-43-9,BEL,Belgium,Albert Canal,NA,1.022,µg/L,2002/01-2004/01,0.09,NA,Human (Cord Blood),cord whole blood,statistic,75 Percentile,10,4,1.004,representative,NA,NA,NA,Albert Canal,Maternal smoking during pregnancy,Yes,FLEHSI,IPCheM-M001: LOD AND LOQ missing (LOQ),2020,FLEHS_Aggregate.csv,"IPCheM-M001: LOD AND LOQ missing (LOQ),"
cadmium,7440-43-9,BEL,Belgium,Albert Canal,NA,2.587,µg/L,2002/01-2004/01,0.09,NA,Human (Cord Blood),cord whole blood,statistic,90 Percentile,10,4,1.004,representative,NA,NA,NA,Albert Canal,Maternal smoking during pregnancy,Yes,FLEHSI,IPCheM-M001: LOD AND LOQ missing (LOQ),2020,FLEHS_Aggregate.csv,"IPCheM-M001: LOD AND LOQ missing (LOQ),"
cadmium,7440-43-9,BEL,Belgium,Albert Canal,NA,2.6,µg/L,2002/01-2004/01,0.09,NA,Human (Cord Blood),cord whole blood,statistic,Maximum,10,4,1.004,representative,NA,NA,NA,Albert Canal,Maternal smoking during pregnancy,Yes,FLEHSI,IPCheM-M001: LOD AND LOQ missing (LOQ),2020,FLEHS_Aggregate.csv,"IPCheM-M001: LOD AND LOQ missing (LOQ),"
cadmium,7440-43-9,BEL,Belgium,Albert Canal,NA,0.742,µg/L,2002/01-2004/01,0.09,NA,Human (Cord Blood),cord whole blood,statistic,Mean,29,7,0.695,representative,NA,NA,NA,Albert Canal,Sex,Female,FLEHSI,IPCheM-M001: LOD AND LOQ missing (LOQ),2020,FLEHS_Aggregate.csv,"IPCheM-M001: LOD AND LOQ missing (LOQ),"
cadmium,7440-43-9,BEL,Belgium,Albert Canal,NA,0.045,µg/L,2002/01-2004/01,0.09,NA,Human (Cord Blood),cord whole blood,statistic,Minimum,29,7,0.695,representative,NA,NA,NA,Albert Canal,Sex,Female,FLEHSI,IPCheM-M001: LOD AND LOQ missing (LOQ),2020,FLEHS_Aggregate.csv,"IPCheM-M001: LOD AND LOQ missing (LOQ),"
cadmium,7440-43-9,BEL,Belgium,Albert Canal,NA,0.045,µg/L,2002/01-2004/01,0.09,NA,Human (Cord Blood),cord whole blood,statistic,10 Percentile,29,7,0.695,representative,NA,NA,NA,Albert Canal,Sex,Female,FLEHSI,IPCheM-M001: LOD AND LOQ missing (LOQ),2020,FLEHS_Aggregate.csv,"IPCheM-M001: LOD AND LOQ missing (LOQ),"
cadmium,7440-43-9,BEL,Belgium,Albert Canal,NA,0.22,µg/L,2002/01-2004/01,0.09,NA,Human (Cord Blood),cord whole blood,statistic,25 Percentile,29,7,0.695,representative,NA,NA,NA,Albert Canal,Sex,Female,FLEHSI,IPCheM-M001: LOD AND LOQ missing (LOQ),2020,FLEHS_Aggregate.csv,"IPCheM-M001: LOD AND LOQ missing (LOQ),"
cadmium,7440-43-9,BEL,Belgium,Albert Canal,NA,0.639,µg/L,2002/01-2004/01,0.09,NA,Human (Cord Blood),cord whole blood,statistic,50 Percentile,29,7,0.695,representative,NA,NA,NA,Albert Canal,Sex,Female,FLEHSI,IPCheM-M001: LOD AND LOQ missing (LOQ),2020,FLEHS_Aggregate.csv,"IPCheM-M001: LOD AND LOQ missing (LOQ),"
cadmium,7440-43-9,BEL,Belgium,Albert Canal,NA,0.987,µg/L,2002/01-2004/01,0.09,NA,Human (Cord Blood),cord whole blood,statistic,75 Percentile,29,7,0.695,representative,NA,NA,NA,Albert Canal,Sex,Female,FLEHSI,IPCheM-M001: LOD AND LOQ missing (LOQ),2020,FLEHS_Aggregate.csv,"IPCheM-M001: LOD AND LOQ missing (LOQ),"
cadmium,7440-43-9,BEL,Belgium,Albert Canal,NA,1.977,µg/L,2002/01-2004/01,0.09,NA,Human (Cord Blood),cord whole blood,statistic,90 Percentile,29,7,0.695,representative,NA,NA,NA,Albert Canal,Sex,Female,FLEHSI,IPCheM-M001: LOD AND LOQ missing (LOQ),2020,FLEHS_Aggregate.csv,"IPCheM-M001: LOD AND LOQ missing (LOQ),"
cadmium,7440-43-9,BEL,Belgium,Albert Canal,NA,2.574,µg/L,2002/01-2004/01,0.09,NA,Human (Cord Blood),cord whole blood,statistic,Maximum,29,7,0.695,representative,NA,NA,NA,Albert Canal,Sex,Female,FLEHSI,IPCheM-M001: LOD AND LOQ missing (LOQ),2020,FLEHS_Aggregate.csv,"IPCheM-M001: LOD AND LOQ missing (LOQ),"
cadmium,7440-43-9,BEL,Belgium,Albert Canal,NA,0.544,µg/L,2002/01-2004/01,0.09,NA,Human (Cord Blood),cord whole blood,statistic,Mean,30,11,0.675,representative,NA,NA,NA,Albert Canal,Sex,Male,FLEHSI,IPCheM-M001: LOD AND LOQ missing (LOQ),2020,FLEHS_Aggregate.csv,"IPCheM-M001: LOD AND LOQ missing (LOQ),"
cadmium,7440-43-9,BEL,Belgium,Albert Canal,NA,0.045,µg/L,2002/01-2004/01,0.09,NA,Human (Cord Blood),cord whole blood,statistic,Minimum,30,11,0.675,representative,NA,NA,NA,Albert Canal,Sex,Male,FLEHSI,IPCheM-M001: LOD AND LOQ missing (LOQ),2020,FLEHS_Aggregate.csv,"IPCheM-M001: LOD AND LOQ missing (LOQ),"
cadmium,7440-43-9,BEL,Belgium,Albert Canal,NA,0.045,µg/L,2002/01-2004/01,0.09,NA,Human (Cord Blood),cord whole blood,statistic,10 Percentile,30,11,0.675,representative,NA,NA,NA,Albert Canal,Sex,Male,FLEHSI,IPCheM-M001: LOD AND LOQ missing (LOQ),2020,FLEHS_Aggregate.csv,"IPCheM-M001: LOD AND LOQ missing (LOQ),"
cadmium,7440-43-9,BEL,Belgium,Albert Canal,NA,0.045,µg/L,2002/01-2004/01,0.09,NA,Human (Cord Blood),cord whole blood,statistic,25 Percentile,30,11,0.675,representative,NA,NA,NA,Albert Canal,Sex,Male,FLEHSI,IPCheM-M001: LOD AND LOQ missing (LOQ),2020,FLEHS_Aggregate.csv,"IPCheM-M001: LOD AND LOQ missing (LOQ),"
cadmium,7440-43-9,BEL,Belgium,Albert Canal,NA,0.237,µg/L,2002/01-2004/01,0.09,NA,Human (Cord Blood),cord whole blood,statistic,50 Percentile,30,11,0.675,representative,NA,NA,NA,Albert Canal,Sex,Male,FLEHSI,IPCheM-M001: LOD AND LOQ missing (LOQ),2020,FLEHS_Aggregate.csv,"IPCheM-M001: LOD AND LOQ missing (LOQ),"
cadmium,7440-43-9,BEL,Belgium,Albert Canal,NA,0.764,µg/L,2002/01-2004/01,0.09,NA,Human (Cord Blood),cord whole blood,statistic,75 Percentile,30,11,0.675,representative,NA,NA,NA,Albert Canal,Sex,Male,FLEHSI,IPCheM-M001: LOD AND LOQ missing (LOQ),2020,FLEHS_Aggregate.csv,"IPCheM-M001: LOD AND LOQ missing (LOQ),"
cadmium,7440-43-9,BEL,Belgium,Albert Canal,NA,1.79,µg/L,2002/01-2004/01,0.09,NA,Human (Cord Blood),cord whole blood,statistic,90 Percentile,30,11,0.675,representative,NA,NA,NA,Albert Canal,Sex,Male,FLEHSI,IPCheM-M001: LOD AND LOQ missing (LOQ),2020,FLEHS_Aggregate.csv,"IPCheM-M001: LOD AND LOQ missing (LOQ),"
cadmium,7440-43-9,BEL,Belgium,Albert Canal,NA,2.6,µg/L,2002/01-2004/01,0.09,NA,Human (Cord Blood),cord whole blood,statistic,Maximum,30,11,0.675,representative,NA,NA,NA,Albert Canal,Sex,Male,FLEHSI,IPCheM-M001: LOD AND LOQ missing (LOQ),2020,FLEHS_Aggregate.csv,"IPCheM-M001: LOD AND LOQ missing (LOQ),"
cadmium,7440-43-9,BEL,Belgium,Antwerp City,NA,0.271,µg/L,2002/01-2004/01,0.09,NA,Human (Cord Blood),cord whole blood,statistic,Mean,51,26,0.384,representative,NA,NA,NA,Antwerp City,Maternal education,Higher education,FLEHSI,IPCheM-M001: LOD AND LOQ missing (LOQ),2020,FLEHS_Aggregate.csv,"IPCheM-M001: LOD AND LOQ missing (LOQ),"
cadmium,7440-43-9,BEL,Belgium,Antwerp City,NA,0.045,µg/L,2002/01-2004/01,0.09,NA,Human (Cord Blood),cord whole blood,statistic,Minimum,51,26,0.384,representative,NA,NA,NA,Antwerp City,Maternal education,Higher education,FLEHSI,IPCheM-M001: LOD AND LOQ missing (LOQ),2020,FLEHS_Aggregate.csv,"IPCheM-M001: LOD AND LOQ missing (LOQ),"
cadmium,7440-43-9,BEL,Belgium,Antwerp City,NA,0.045,µg/L,2002/01-2004/01,0.09,NA,Human (Cord Blood),cord whole blood,statistic,10 Percentile,51,26,0.384,representative,NA,NA,NA,Antwerp City,Maternal education,Higher education,FLEHSI,IPCheM-M001: LOD AND LOQ missing (LOQ),2020,FLEHS_Aggregate.csv,"IPCheM-M001: LOD AND LOQ missing (LOQ),"
cadmium,7440-43-9,BEL,Belgium,Antwerp City,NA,0.045,µg/L,2002/01-2004/01,0.09,NA,Human (Cord Blood),cord whole blood,statistic,25 Percentile,51,26,0.384,representative,NA,NA,NA,Antwerp City,Maternal education,Higher education,FLEHSI,IPCheM-M001: LOD AND LOQ missing (LOQ),2020,FLEHS_Aggregate.csv,"IPCheM-M001: LOD AND LOQ missing (LOQ),"
cadmium,7440-43-9,BEL,Belgium,Antwerp City,NA,0.045,µg/L,2002/01-2004/01,0.09,NA,Human (Cord Blood),cord whole blood,statistic,50 Percentile,51,26,0.384,representative,NA,NA,NA,Antwerp City,Maternal education,Higher education,FLEHSI,IPCheM-M001: LOD AND LOQ missing (LOQ),2020,FLEHS_Aggregate.csv,"IPCheM-M001: LOD AND LOQ missing (LOQ),"
cadmium,7440-43-9,BEL,Belgium,Antwerp City,NA,0.292,µg/L,2002/01-2004/01,0.09,NA,Human (Cord Blood),cord whole blood,statistic,75 Percentile,51,26,0.384,representative,NA,NA,NA,Antwerp City,Maternal education,Higher education,FLEHSI,IPCheM-M001: LOD AND LOQ missing (LOQ),2020,FLEHS_Aggregate.csv,"IPCheM-M001: LOD AND LOQ missing (LOQ),"
cadmium,7440-43-9,BEL,Belgium,Antwerp City,NA,0.789,µg/L,2002/01-2004/01,0.09,NA,Human (Cord Blood),cord whole blood,statistic,90 Percentile,51,26,0.384,representative,NA,NA,NA,Antwerp City,Maternal education,Higher education,FLEHSI,IPCheM-M001: LOD AND LOQ missing (LOQ),2020,FLEHS_Aggregate.csv,"IPCheM-M001: LOD AND LOQ missing (LOQ),"
cadmium,7440-43-9,BEL,Belgium,Antwerp City,NA,1.672,µg/L,2002/01-2004/01,0.09,NA,Human (Cord Blood),cord whole blood,statistic,Maximum,51,26,0.384,representative,NA,NA,NA,Antwerp City,Maternal education,Higher education,FLEHSI,IPCheM-M001: LOD AND LOQ missing (LOQ),2020,FLEHS_Aggregate.csv,"IPCheM-M001: LOD AND LOQ missing (LOQ),"
cadmium,7440-43-9,BEL,Belgium,Antwerp City,NA,0.444,µg/L,2002/01-2004/01,0.09,NA,Human (Cord Blood),cord whole blood,statistic,Mean,145,58,0.592,representative,NA,NA,NA,Antwerp City,Maternal education,Secondary school or lower,FLEHSI,IPCheM-M001: LOD AND LOQ missing (LOQ),2020,FLEHS_Aggregate.csv,"IPCheM-M001: LOD AND LOQ missing (LOQ),"
cadmium,7440-43-9,BEL,Belgium,Antwerp City,NA,0.045,µg/L,2002/01-2004/01,0.09,NA,Human (Cord Blood),cord whole blood,statistic,Minimum,145,58,0.592,representative,NA,NA,NA,Antwerp City,Maternal education,Secondary school or lower,FLEHSI,IPCheM-M001: LOD AND LOQ missing (LOQ),2020,FLEHS_Aggregate.csv,"IPCheM-M001: LOD AND LOQ missing (LOQ),"
cadmium,7440-43-9,BEL,Belgium,Antwerp City,NA,0.045,µg/L,2002/01-2004/01,0.09,NA,Human (Cord Blood),cord whole blood,statistic,10 Percentile,145,58,0.592,representative,NA,NA,NA,Antwerp City,Maternal education,Secondary school or lower,FLEHSI,IPCheM-M001: LOD AND LOQ missing (LOQ),2020,FLEHS_Aggregate.csv,"IPCheM-M001: LOD AND LOQ missing (LOQ),"
cadmium,7440-43-9,BEL,Belgium,Antwerp City,NA,0.045,µg/L,2002/01-2004/01,0.09,NA,Human (Cord Blood),cord whole blood,statistic,25 Percentile,145,58,0.592,representative,NA,NA,NA,Antwerp City,Maternal education,Secondary school or lower,FLEHSI,IPCheM-M001: LOD AND LOQ missing (LOQ),2020,FLEHS_Aggregate.csv,"IPCheM-M001: LOD AND LOQ missing (LOQ),"
cadmium,7440-43-9,BEL,Belgium,Antwerp City,NA,0.228,µg/L,2002/01-2004/01,0.09,NA,Human (Cord Blood),cord whole blood,statistic,50 Percentile,145,58,0.592,representative,NA,NA,NA,Antwerp City,Maternal education,Secondary school or lower,FLEHSI,IPCheM-M001: LOD AND LOQ missing (LOQ),2020,FLEHS_Aggregate.csv,"IPCheM-M001: LOD AND LOQ missing (LOQ),"
cadmium,7440-43-9,BEL,Belgium,Antwerp City,NA,0.603,µg/L,2002/01-2004/01,0.09,NA,Human (Cord Blood),cord whole blood,statistic,75 Percentile,145,58,0.592,representative,NA,NA,NA,Antwerp City,Maternal education,Secondary school or lower,FLEHSI,IPCheM-M001: LOD AND LOQ missing (LOQ),2020,FLEHS_Aggregate.csv,"IPCheM-M001: LOD AND LOQ missing (LOQ),"
cadmium,7440-43-9,BEL,Belgium,Antwerp City,NA,1.157,µg/L,2002/01-2004/01,0.09,NA,Human (Cord Blood),cord whole blood,statistic,90 Percentile,145,58,0.592,representative,NA,NA,NA,Antwerp City,Maternal education,Secondary school or lower,FLEHSI,IPCheM-M001: LOD AND LOQ missing (LOQ),2020,FLEHS_Aggregate.csv,"IPCheM-M001: LOD AND LOQ missing (LOQ),"
cadmium,7440-43-9,BEL,Belgium,Antwerp City,NA,3.211,µg/L,2002/01-2004/01,0.09,NA,Human (Cord Blood),cord whole blood,statistic,Maximum,145,58,0.592,representative,NA,NA,NA,Antwerp City,Maternal education,Secondary school or lower,FLEHSI,IPCheM-M001: LOD AND LOQ missing (LOQ),2020,FLEHS_Aggregate.csv,"IPCheM-M001: LOD AND LOQ missing (LOQ),"
cadmium,7440-43-9,BEL,Belgium,Antwerp City,NA,0.41,µg/L,2002/01-2004/01,0.09,NA,Human (Cord Blood),cord whole blood,statistic,Mean,173,71,0.534,representative,NA,NA,NA,Antwerp City,Maternal smoking during pregnancy,No,FLEHSI,IPCheM-M001: LOD AND LOQ missing (LOQ),2020,FLEHS_Aggregate.csv,"IPCheM-M001: LOD AND LOQ missing (LOQ),"
cadmium,7440-43-9,BEL,Belgium,Antwerp City,NA,0.045,µg/L,2002/01-2004/01,0.09,NA,Human (Cord Blood),cord whole blood,statistic,Minimum,173,71,0.534,representative,NA,NA,NA,Antwerp City,Maternal smoking during pregnancy,No,FLEHSI,IPCheM-M001: LOD AND LOQ missing (LOQ),2020,FLEHS_Aggregate.csv,"IPCheM-M001: LOD AND LOQ missing (LOQ),"
