Chemical Name,CAS Number,Country Code,Country Name,Sample Source Code,Sample Source Name,Concentration Value,Unit of Measure,Sampling Date,LOD,LOQ,Media,Level of Aggregation,Statistic Name,Number of Samples,Samples Below LOQ,Percentage of Samples >= LOD,Position,Latitude,Longitude,Location Name,Compound,Cohort Code,Cohort Name,Determinant Name,Determinant Value,Sample Type,Confidence Interval,IPCheM QC,PulledDate,FileName,QA_Concerns
"2,4,5-trichlorophenol",95-95-4,DNK,Denmark,DNK,NA,0.03,ng/mL,2007,0.06,NA,Human (Urine),statistic,Percentile 10,129,80,38,representative,NA,NA,NA,NA,2,Children and Adolescents,Total,NA,24 hour,0.06-0.08,NA,2020,Danish HBM.csv,
"2,4,5-trichlorophenol",95-95-4,DNK,Denmark,DNK,NA,3.71,ng/mL,2007,0.06,NA,Human (Urine),statistic,Maximum,129,80,38,representative,NA,NA,NA,NA,2,Children and Adolescents,Total,NA,24 hour,0.06-0.08,NA,2020,Danish HBM.csv,
"2,4,5-trichlorophenol",95-95-4,DNK,Denmark,DNK,NA,0.13,ng/mL,2007,0.06,NA,Human (Urine),statistic,Mean,129,80,38,representative,NA,NA,NA,NA,2,Children and Adolescents,Total,NA,24 hour,0.06-0.08,NA,2020,Danish HBM.csv,
"2,4,5-trichlorophenol",95-95-4,DNK,Denmark,DNK,NA,0.03,ng/mL,2007,0.06,NA,Human (Urine),statistic,Percentile 75,31,24,22.6,representative,NA,NA,NA,NA,2,Children and Adolescents,Age group,14-20 years,24 hour,0.04-0.09,NA,2020,Danish HBM.csv,
"2,4,5-trichlorophenol",95-95-4,DNK,Denmark,DNK,NA,1.75,ng/mL,2007,0.06,NA,Human (Urine),statistic,Percentile 95,31,24,22.6,representative,NA,NA,NA,NA,2,Children and Adolescents,Age group,14-20 years,24 hour,0.04-0.09,NA,2020,Danish HBM.csv,
"2,4,5-trichlorophenol",95-95-4,DNK,Denmark,DNK,NA,0.03,ng/mL,2007,0.06,NA,Human (Urine),statistic,Percentile 50,31,24,22.6,representative,NA,NA,NA,NA,2,Children and Adolescents,Age group,14-20 years,24 hour,0.04-0.09,NA,2020,Danish HBM.csv,
"2,4,5-trichlorophenol",95-95-4,DNK,Denmark,DNK,NA,0.03,ng/mL,2007,0.06,NA,Human (Urine),statistic,Percentile 25,31,24,22.6,representative,NA,NA,NA,NA,2,Children and Adolescents,Age group,14-20 years,24 hour,0.04-0.09,NA,2020,Danish HBM.csv,
"2,4,5-trichlorophenol",95-95-4,DNK,Denmark,DNK,NA,3.71,ng/mL,2007,0.06,NA,Human (Urine),statistic,Maximum,31,24,22.6,representative,NA,NA,NA,NA,2,Children and Adolescents,Age group,14-20 years,24 hour,0.04-0.09,NA,2020,Danish HBM.csv,
"2,4,5-trichlorophenol",95-95-4,DNK,Denmark,DNK,NA,0.2,ng/mL,2007,0.06,NA,Human (Urine),statistic,Mean,31,24,22.6,representative,NA,NA,NA,NA,2,Children and Adolescents,Age group,14-20 years,24 hour,0.04-0.09,NA,2020,Danish HBM.csv,
"2,4,5-trichlorophenol",95-95-4,DNK,Denmark,DNK,NA,0.07,ng/mL,2007,0.06,NA,Human (Urine),statistic,Geometric Mean,73,42,42.5,representative,NA,NA,NA,NA,2,Children and Adolescents,Age group,10-13 years,24 hour,0.06-0.08,NA,2020,Danish HBM.csv,
"2,4,5-trichlorophenol",95-95-4,DNK,Denmark,DNK,NA,0.27,ng/mL,2007,0.06,NA,Human (Urine),statistic,Percentile 90,73,42,42.5,representative,NA,NA,NA,NA,2,Children and Adolescents,Age group,10-13 years,24 hour,0.06-0.08,NA,2020,Danish HBM.csv,
"2,4,5-trichlorophenol",95-95-4,DNK,Denmark,DNK,NA,0.03,ng/mL,2007,0.06,NA,Human (Urine),statistic,Percentile 50,73,42,42.5,representative,NA,NA,NA,NA,2,Children and Adolescents,Age group,10-13 years,24 hour,0.06-0.08,NA,2020,Danish HBM.csv,
monoethyl phthalate,2306-33-4,DNK,Denmark,DNK,NA,4.92,ng/mL,2007,0.24,NA,Human (Urine),statistic,Minimum,129,0,100,representative,NA,NA,NA,NA,2,Children and Adolescents,Total,NA,24 hour,28.3-39.3,NA,2020,Danish HBM.csv,
"2,4,5-trichlorophenol",95-95-4,DNK,Denmark,DNK,NA,0.03,ng/mL,2007,0.06,NA,Human (Urine),statistic,Percentile 25,73,42,42.5,representative,NA,NA,NA,NA,2,Children and Adolescents,Age group,10-13 years,24 hour,0.06-0.08,NA,2020,Danish HBM.csv,
"2,4,5-trichlorophenol",95-95-4,DNK,Denmark,DNK,NA,0.64,ng/mL,2011 - 2012,0.06,NA,Human (Urine),statistic,Percentile 95,565,425,24.8,representative,NA,NA,NA,NA,4,Pregnant Women,NA,NA,Spot,0.06-0.07,NA,2020,Danish HBM.csv,
"2,4,5-trichlorophenol",95-95-4,DNK,Denmark,DNK,NA,0.03,ng/mL,2011 - 2012,0.06,NA,Human (Urine),statistic,Percentile 75,565,425,24.8,representative,NA,NA,NA,NA,4,Pregnant Women,NA,NA,Spot,0.06-0.07,NA,2020,Danish HBM.csv,
"2,4,5-trichlorophenol",95-95-4,DNK,Denmark,DNK,NA,0.03,ng/mL,2011 - 2012,0.06,NA,Human (Urine),statistic,Percentile 50,565,425,24.8,representative,NA,NA,NA,NA,4,Pregnant Women,NA,NA,Spot,0.06-0.07,NA,2020,Danish HBM.csv,
"2,4,5-trichlorophenol",95-95-4,DNK,Denmark,DNK,NA,0.03,ng/mL,2011 - 2012,0.06,NA,Human (Urine),statistic,Percentile 10,565,425,24.8,representative,NA,NA,NA,NA,4,Pregnant Women,NA,NA,Spot,0.06-0.07,NA,2020,Danish HBM.csv,
"2,4,5-trichlorophenol",95-95-4,DNK,Denmark,DNK,NA,3.88,ng/mL,2011 - 2012,0.06,NA,Human (Urine),statistic,Maximum,565,425,24.8,representative,NA,NA,NA,NA,4,Pregnant Women,NA,NA,Spot,0.06-0.07,NA,2020,Danish HBM.csv,
"2,4,5-trichlorophenol",95-95-4,DNK,Denmark,DNK,NA,0.16,ng/mL,2011 - 2012,0.06,NA,Human (Urine),statistic,Mean,565,425,24.8,representative,NA,NA,NA,NA,4,Pregnant Women,NA,NA,Spot,0.06-0.07,NA,2020,Danish HBM.csv,
"2,4,5-trichlorophenol",95-95-4,DNK,Denmark,DNK,NA,0.41,ng/mL,2007 - 2009,0.06,NA,Human (Urine),statistic,Geometric Mean,309,29,90.6,representative,NA,NA,NA,NA,3,Young Men,NA,NA,Spot,0.36-0.46,NA,2020,Danish HBM.csv,
"2,4,5-trichlorophenol",95-95-4,DNK,Denmark,DNK,NA,1.32,ng/mL,2007 - 2009,0.06,NA,Human (Urine),statistic,Percentile 90,309,29,90.6,representative,NA,NA,NA,NA,3,Young Men,NA,NA,Spot,0.36-0.46,NA,2020,Danish HBM.csv,
"2,4,5-trichlorophenol",95-95-4,DNK,Denmark,DNK,NA,0.8,ng/mL,2007 - 2009,0.06,NA,Human (Urine),statistic,Percentile 75,309,29,90.6,representative,NA,NA,NA,NA,3,Young Men,NA,NA,Spot,0.36-0.46,NA,2020,Danish HBM.csv,
"2,4,5-trichlorophenol",95-95-4,DNK,Denmark,DNK,NA,0.25,ng/mL,2007 - 2009,0.06,NA,Human (Urine),statistic,Percentile 25,309,29,90.6,representative,NA,NA,NA,NA,3,Young Men,NA,NA,Spot,0.36-0.46,NA,2020,Danish HBM.csv,
"2,4,5-trichlorophenol",95-95-4,DNK,Denmark,DNK,NA,10.2,ng/mL,2007 - 2009,0.06,NA,Human (Urine),statistic,Maximum,309,29,90.6,representative,NA,NA,NA,NA,3,Young Men,NA,NA,Spot,0.36-0.46,NA,2020,Danish HBM.csv,
"2,4,5-trichlorophenol",95-95-4,DNK,Denmark,DNK,NA,0.03,ng/mL,2007 - 2009,0.06,NA,Human (Urine),statistic,Minimum,309,29,90.6,representative,NA,NA,NA,NA,3,Young Men,NA,NA,Spot,0.36-0.46,NA,2020,Danish HBM.csv,
"2,4-dichlorophenol",120-83-2,DNK,Denmark,DNK,NA,0.035,ng/mL,2011 - 2012,0.07,NA,Human (Urine),statistic,Percentile 10,517,153,70.4,representative,NA,NA,NA,NA,4,Pregnant Women,NA,NA,Spot,0.16-0.19,NA,2020,Danish HBM.csv,
"2,4-dichlorophenol",120-83-2,DNK,Denmark,DNK,NA,0.16,ng/mL,2011 - 2012,0.07,NA,Human (Urine),statistic,Percentile 50,517,153,70.4,representative,NA,NA,NA,NA,4,Pregnant Women,NA,NA,Spot,0.16-0.19,NA,2020,Danish HBM.csv,
"2,4-dichlorophenol",120-83-2,DNK,Denmark,DNK,NA,0.36,ng/mL,2011 - 2012,0.07,NA,Human (Urine),statistic,Percentile 75,517,153,70.4,representative,NA,NA,NA,NA,4,Pregnant Women,NA,NA,Spot,0.16-0.19,NA,2020,Danish HBM.csv,
"2,4-dichlorophenol",120-83-2,DNK,Denmark,DNK,NA,1.64,ng/mL,2011 - 2012,0.07,NA,Human (Urine),statistic,Percentile 95,517,153,70.4,representative,NA,NA,NA,NA,4,Pregnant Women,NA,NA,Spot,0.16-0.19,NA,2020,Danish HBM.csv,
"2,4-dichlorophenol",120-83-2,DNK,Denmark,DNK,NA,0.17,ng/mL,2011 - 2012,0.07,NA,Human (Urine),statistic,Geometric Mean,517,153,70.4,representative,NA,NA,NA,NA,4,Pregnant Women,NA,NA,Spot,0.16-0.19,NA,2020,Danish HBM.csv,
"2,4-dichlorophenol",120-83-2,DNK,Denmark,DNK,NA,0.035,ng/mL,2007 - 2009,0.07,NA,Human (Urine),statistic,Minimum,309,31,90,representative,NA,NA,NA,NA,3,Young Men,NA,NA,Spot,0.37-0.48,NA,2020,Danish HBM.csv,
"2,4-dichlorophenol",120-83-2,DNK,Denmark,DNK,NA,20.5,ng/mL,2007 - 2009,0.07,NA,Human (Urine),statistic,Maximum,309,31,90,representative,NA,NA,NA,NA,3,Young Men,NA,NA,Spot,0.37-0.48,NA,2020,Danish HBM.csv,
"2,4-dichlorophenol",120-83-2,DNK,Denmark,DNK,NA,0.2,ng/mL,2007 - 2009,0.07,NA,Human (Urine),statistic,Percentile 25,309,31,90,representative,NA,NA,NA,NA,3,Young Men,NA,NA,Spot,0.37-0.48,NA,2020,Danish HBM.csv,
"2,4-dichlorophenol",120-83-2,DNK,Denmark,DNK,NA,0.84,ng/mL,2007 - 2009,0.07,NA,Human (Urine),statistic,Percentile 75,309,31,90,representative,NA,NA,NA,NA,3,Young Men,NA,NA,Spot,0.37-0.48,NA,2020,Danish HBM.csv,
"2,4-dichlorophenol",120-83-2,DNK,Denmark,DNK,NA,1.92,ng/mL,2007 - 2009,0.07,NA,Human (Urine),statistic,Percentile 90,309,31,90,representative,NA,NA,NA,NA,3,Young Men,NA,NA,Spot,0.37-0.48,NA,2020,Danish HBM.csv,
"2,4-dichlorophenol",120-83-2,DNK,Denmark,DNK,NA,0.42,ng/mL,2007 - 2009,0.07,NA,Human (Urine),statistic,Geometric Mean,309,31,90,representative,NA,NA,NA,NA,3,Young Men,NA,NA,Spot,0.37-0.48,NA,2020,Danish HBM.csv,
"2,4-dichlorophenol",120-83-2,DNK,Denmark,DNK,NA,0.035,ng/mL,2011 - 2012,0.07,NA,Human (Urine),statistic,Minimum,517,153,70.4,representative,NA,NA,NA,NA,4,Pregnant Women,NA,NA,Spot,0.16-0.19,NA,2020,Danish HBM.csv,
"2,4-dichlorophenol",120-83-2,DNK,Denmark,DNK,NA,6.5,ng/mL,2011 - 2012,0.07,NA,Human (Urine),statistic,Maximum,517,153,70.4,representative,NA,NA,NA,NA,4,Pregnant Women,NA,NA,Spot,0.16-0.19,NA,2020,Danish HBM.csv,
"2,5-dichlorophenol",583-78-8,DNK,Denmark,DNK,NA,0.035,ng/mL,2011 - 2012,0.07,NA,Human (Urine),statistic,Percentile 25,517,301,41.8,representative,NA,NA,NA,NA,4,Pregnant Women,NA,NA,Spot,0.12-0.15,NA,2020,Danish HBM.csv,
"2,5-dichlorophenol",583-78-8,DNK,Denmark,DNK,NA,0.035,ng/mL,2011 - 2012,0.07,NA,Human (Urine),statistic,Percentile 50,517,301,41.8,representative,NA,NA,NA,NA,4,Pregnant Women,NA,NA,Spot,0.12-0.15,NA,2020,Danish HBM.csv,
"2,5-dichlorophenol",583-78-8,DNK,Denmark,DNK,NA,0.34,ng/mL,2011 - 2012,0.07,NA,Human (Urine),statistic,Percentile 75,517,301,41.8,representative,NA,NA,NA,NA,4,Pregnant Women,NA,NA,Spot,0.12-0.15,NA,2020,Danish HBM.csv,
triclocarban,101-20-2,DNK,Denmark,DNK,NA,0.01,ng/mL,2007 - 2009,0.01,NA,Human (Urine),statistic,Geometric Mean,309,257,16.8,representative,NA,NA,NA,NA,3,Young Men,NA,NA,Spot,NA,NA,2020,Danish HBM.csv,
"2,5-dichlorophenol",583-78-8,DNK,Denmark,DNK,NA,0.79,ng/mL,2011 - 2012,0.07,NA,Human (Urine),statistic,Percentile 90,517,301,41.8,representative,NA,NA,NA,NA,4,Pregnant Women,NA,NA,Spot,0.12-0.15,NA,2020,Danish HBM.csv,
"2,5-dichlorophenol",583-78-8,DNK,Denmark,DNK,NA,0.13,ng/mL,2011 - 2012,0.07,NA,Human (Urine),statistic,Geometric Mean,517,301,41.8,representative,NA,NA,NA,NA,4,Pregnant Women,NA,NA,Spot,0.12-0.15,NA,2020,Danish HBM.csv,
"2,5-dichlorophenol",583-78-8,DNK,Denmark,DNK,NA,2.35,ng/mL,2007 - 2009,0.07,NA,Human (Urine),statistic,Mean,309,74,76.1,representative,NA,NA,NA,NA,3,Young Men,NA,NA,Spot,0.22-0.3,NA,2020,Danish HBM.csv,
"2,5-dichlorophenol",583-78-8,DNK,Denmark,DNK,NA,190,ng/mL,2007 - 2009,0.07,NA,Human (Urine),statistic,Maximum,309,74,76.1,representative,NA,NA,NA,NA,3,Young Men,NA,NA,Spot,0.22-0.3,NA,2020,Danish HBM.csv,
"2,5-dichlorophenol",583-78-8,DNK,Denmark,DNK,NA,0.07,ng/mL,2007 - 2009,0.07,NA,Human (Urine),statistic,Percentile 25,309,74,76.1,representative,NA,NA,NA,NA,3,Young Men,NA,NA,Spot,0.22-0.3,NA,2020,Danish HBM.csv,
"2,5-dichlorophenol",583-78-8,DNK,Denmark,DNK,NA,0.19,ng/mL,2007 - 2009,0.07,NA,Human (Urine),statistic,Percentile 50,309,74,76.1,representative,NA,NA,NA,NA,3,Young Men,NA,NA,Spot,0.22-0.3,NA,2020,Danish HBM.csv,
"2,5-dichlorophenol",583-78-8,DNK,Denmark,DNK,NA,1.53,ng/mL,2007 - 2009,0.07,NA,Human (Urine),statistic,Percentile 90,309,74,76.1,representative,NA,NA,NA,NA,3,Young Men,NA,NA,Spot,0.22-0.3,NA,2020,Danish HBM.csv,
"2,5-dichlorophenol",583-78-8,DNK,Denmark,DNK,NA,7.17,ng/mL,2007 - 2009,0.07,NA,Human (Urine),statistic,Percentile 95,309,74,76.1,representative,NA,NA,NA,NA,3,Young Men,NA,NA,Spot,0.22-0.3,NA,2020,Danish HBM.csv,
"2,5-dichlorophenol",583-78-8,DNK,Denmark,DNK,NA,0.59,ng/mL,2011 - 2012,0.07,NA,Human (Urine),statistic,Mean,517,301,41.8,representative,NA,NA,NA,NA,4,Pregnant Women,NA,NA,Spot,0.12-0.15,NA,2020,Danish HBM.csv,
"2,5-dichlorophenol",583-78-8,DNK,Denmark,DNK,NA,0.035,ng/mL,2011 - 2012,0.07,NA,Human (Urine),statistic,Percentile 10,517,301,41.8,representative,NA,NA,NA,NA,4,Pregnant Women,NA,NA,Spot,0.12-0.15,NA,2020,Danish HBM.csv,
2-phenyl phenol,90-43-7,DNK,Denmark,DNK,NA,0.97,ng/mL,2007 - 2009,0.12,NA,Human (Urine),statistic,Percentile 95,309,62,79.9,representative,NA,NA,NA,NA,3,Young Men,NA,NA,Spot,0.25-0.3,NA,2020,Danish HBM.csv,
2-phenyl phenol,90-43-7,DNK,Denmark,DNK,NA,1.23,ng/mL,2007,0.12,NA,Human (Urine),statistic,Percentile 95,73,18,75.3,representative,NA,NA,NA,NA,2,Children and Adolescents,Age group,10-13 years,24 hour,0.26-0.39,NA,2020,Danish HBM.csv,
2-phenyl phenol,90-43-7,DNK,Denmark,DNK,NA,1.03,ng/mL,2007,0.12,NA,Human (Urine),statistic,Percentile 90,73,18,75.3,representative,NA,NA,NA,NA,2,Children and Adolescents,Age group,10-13 years,24 hour,0.26-0.39,NA,2020,Danish HBM.csv,
2-phenyl phenol,90-43-7,DNK,Denmark,DNK,NA,0.35,ng/mL,2007,0.12,NA,Human (Urine),statistic,Percentile 50,73,18,75.3,representative,NA,NA,NA,NA,2,Children and Adolescents,Age group,10-13 years,24 hour,0.26-0.39,NA,2020,Danish HBM.csv,
2-phenyl phenol,90-43-7,DNK,Denmark,DNK,NA,0.12,ng/mL,2007,0.12,NA,Human (Urine),statistic,Percentile 25,73,18,75.3,representative,NA,NA,NA,NA,2,Children and Adolescents,Age group,10-13 years,24 hour,0.26-0.39,NA,2020,Danish HBM.csv,
2-phenyl phenol,90-43-7,DNK,Denmark,DNK,NA,1.87,ng/mL,2007,0.12,NA,Human (Urine),statistic,Maximum,73,18,75.3,representative,NA,NA,NA,NA,2,Children and Adolescents,Age group,10-13 years,24 hour,0.26-0.39,NA,2020,Danish HBM.csv,
2-phenyl phenol,90-43-7,DNK,Denmark,DNK,NA,0.44,ng/mL,2007,0.12,NA,Human (Urine),statistic,Mean,73,18,75.3,representative,NA,NA,NA,NA,2,Children and Adolescents,Age group,10-13 years,24 hour,0.26-0.39,NA,2020,Danish HBM.csv,
2-phenyl phenol,90-43-7,DNK,Denmark,DNK,NA,0.44,ng/mL,2007,0.12,NA,Human (Urine),statistic,Geometric Mean,25,2,92,representative,NA,NA,NA,NA,2,Children and Adolescents,Age group,5-9 years,24 hour,0.33-0.61,NA,2020,Danish HBM.csv,
2-phenyl phenol,90-43-7,DNK,Denmark,DNK,NA,1.11,ng/mL,2007,0.12,NA,Human (Urine),statistic,Percentile 90,25,2,92,representative,NA,NA,NA,NA,2,Children and Adolescents,Age group,5-9 years,24 hour,0.33-0.61,NA,2020,Danish HBM.csv,
2-phenyl phenol,90-43-7,DNK,Denmark,DNK,NA,0.52,ng/mL,2007,0.12,NA,Human (Urine),statistic,Percentile 50,25,2,92,representative,NA,NA,NA,NA,2,Children and Adolescents,Age group,5-9 years,24 hour,0.33-0.61,NA,2020,Danish HBM.csv,
2-phenyl phenol,90-43-7,DNK,Denmark,DNK,NA,0.28,ng/mL,2007,0.12,NA,Human (Urine),statistic,Percentile 25,25,2,92,representative,NA,NA,NA,NA,2,Children and Adolescents,Age group,5-9 years,24 hour,0.33-0.61,NA,2020,Danish HBM.csv,
2-phenyl phenol,90-43-7,DNK,Denmark,DNK,NA,1.34,ng/mL,2007,0.12,NA,Human (Urine),statistic,Maximum,25,2,92,representative,NA,NA,NA,NA,2,Children and Adolescents,Age group,5-9 years,24 hour,0.33-0.61,NA,2020,Danish HBM.csv,
triclocarban,101-20-2,DNK,Denmark,DNK,NA,0.23,ng/mL,2007 - 2009,0.01,NA,Human (Urine),statistic,Percentile 95,309,257,16.8,representative,NA,NA,NA,NA,3,Young Men,NA,NA,Spot,NA,NA,2020,Danish HBM.csv,
2-phenyl phenol,90-43-7,DNK,Denmark,DNK,NA,0.06,ng/mL,2007,0.12,NA,Human (Urine),statistic,Minimum,25,2,92,representative,NA,NA,NA,NA,2,Children and Adolescents,Age group,5-9 years,24 hour,0.33-0.61,NA,2020,Danish HBM.csv,
2-phenyl phenol,90-43-7,DNK,Denmark,DNK,NA,0.37,ng/mL,2007,0.12,NA,Human (Urine),statistic,Geometric Mean,64,10,84.4,representative,NA,NA,NA,NA,2,Children and Adolescents,Gender,Females,24 hour,0.3-0.46,NA,2020,Danish HBM.csv,
